DCID,Gender,Married,Dependents,Education,SelfEmployed,ApplicantIncome,CoapplicantIncome,DebtConsolidationAmount,Tenor,CreditHistory,PropertyArea,FacilityStatus
DC006211,Female,Yes,0,Graduate,No,480600,119355,1494500,36,1,Semiurban,Yes
DC006212,Male,No,0,Graduate,No,480500,119375,1495000,36,1,Semiurban,Yes
DC006213,Male,No,0,Graduate,No,480400,119395,1495500,36,1,Semiurban,Yes
DC006214,Male,Yes,1,Graduate,No,480300,119415,1496000,36,1,Semiurban,Yes
DC006215,Male,Yes,3,Graduate,No,480200,119435,1496500,36,1,Semiurban,Yes
DC006216,Male,Yes,1,Not Graduate,Yes,28015,45785,109000,18,0,Rural,No
DC006217,Male,No,0,Graduate,No,480100,119455,1497000,12,1,Semiurban,Yes
DC006218,Male,Yes,0,Graduate,No,480000,119475,1497500,36,1,Semiurban,Yes
DC006219,Male,Yes,0,Not Graduate,Yes,28045,45755,112000,36,0,Rural,No
DC006220,Male,No,0,Graduate,No,479900,119495,1498000,18,1,Semiurban,Yes
DC006221,Female,Yes,0,Graduate,No,479800,119515,1498500,36,1,Semiurban,Yes
DC006222,Male,Yes,1,Not Graduate,Yes,28075,45725,115000,18,0,Rural,No
DC006223,Male,Yes,2,Graduate,No,479700,119535,1499000,48,1,Semiurban,Yes
DC006224,Male,Yes,0,Graduate,No,479600,119555,1499500,36,1,Semiurban,Yes
DC006225,Male,Yes,0,Not Graduate,Yes,28105,45695,118000,36,0,Rural,No
DC006226,Male,No,0,Graduate,No,479500,119575,1500000,36,1,Semiurban,Yes
DC006227,Male,No,0,Not Graduate,Yes,28125,45675,120000,36,0,Rural,No
DC006228,Male,Yes,0,Not Graduate,Yes,28135,45665,121000,18,0,Rural,No
DC006229,Male,No,1,Graduate,No,479400,119595,1500500,36,1,Semiurban,Yes
DC006230,Female,No,0,Graduate,No,479300,119615,1501000,36,1,Semiurban,Yes
DC006231,Female,No,0,Not Graduate,Yes,28165,45635,124000,36,0,Rural,No
DC006232,Male,Yes,1,Graduate,No,479200,119635,1501500,36,1,Semiurban,Yes
DC006233,Female,Yes,2,Graduate,No,479100,119655,1502000,36,1,Semiurban,Yes
DC006234,Male,Yes,0,Not Graduate,Yes,28195,45605,127000,36,0,Rural,No
DC006235,Male,Yes,0,Graduate,No,479000,119675,1502500,36,1,Semiurban,Yes
DC006236,Male,No,1,Graduate,No,478900,119695,1503000,36,1,Semiurban,Yes
DC006237,Male,No,0,Graduate,No,478800,119715,1503500,12,1,Semiurban,Yes
DC006238,Male,No,0,Graduate,No,478700,119735,1504000,36,1,Semiurban,Yes
DC006239,Male,No,0,Graduate,No,478600,119755,1504500,36,1,Semiurban,Yes
DC006240,Male,No,0,Graduate,No,478500,119775,1505000,36,1,Semiurban,Yes
DC006241,Male,Yes,0,Graduate,No,478400,119795,1505500,36,1,Semiurban,Yes
DC006242,Male,Yes,0,Graduate,No,478300,119815,1506000,36,1,Semiurban,Yes
DC006243,Male,No,0,Graduate,No,478200,119835,1506500,36,1,Semiurban,Yes
DC006244,Male,No,0,Graduate,No,478100,119855,1507000,36,1,Semiurban,Yes
DC006245,Male,No,0,Graduate,No,478000,119875,1507500,36,1,Semiurban,Yes
DC006246,Male,Yes,0,Graduate,No,477900,119895,1508000,36,1,Semiurban,Yes
DC006247,Male,No,3,Graduate,No,477800,119915,1508500,36,1,Semiurban,Yes
DC006248,Male,Yes,1,Graduate,No,477700,119935,1509000,36,1,Semiurban,Yes
DC006249,Male,Yes,0,Graduate,No,477600,119955,1509500,12,1,Semiurban,Yes
DC006250,Male,Yes,1,Graduate,No,477500,119975,1510000,36,1,Semiurban,Yes
DC006251,Female,Yes,2,Graduate,No,477400,119995,1510500,36,1,Semiurban,Yes
DC006252,Male,Yes,0,Graduate,No,477300,120015,1511000,36,1,Semiurban,Yes
DC006253,Male,Yes,2,Graduate,No,477200,120035,1511500,36,1,Semiurban,Yes
DC006254,Male,Yes,1,Not Graduate,Yes,28395,45405,147000,36,0,Rural,No
DC006255,Male,No,2,Not Graduate,Yes,28405,45395,148000,36,0,Rural,No
DC006256,Male,Yes,2,Graduate,No,477100,120055,1512000,36,1,Semiurban,Yes
DC006257,Male,Yes,0,Graduate,No,477000,120075,1512500,18,1,Semiurban,Yes
DC006258,Male,No,0,Graduate,No,476900,120095,1513000,36,1,Semiurban,Yes
DC006259,Male,Yes,0,Graduate,No,476800,120115,1513500,36,1,Semiurban,Yes
DC006260,Male,No,2,Graduate,No,476700,120135,1514000,36,1,Semiurban,Yes
DC006261,Male,No,0,Graduate,No,476600,120155,1514500,30,1,Semiurban,Yes
DC006262,Male,Yes,0,Graduate,No,476500,120175,1515000,36,1,Semiurban,Yes
DC006263,Male,No,2,Graduate,No,476400,120195,1515500,36,1,Semiurban,Yes
DC006264,Male,No,0,Graduate,No,476300,120215,1516000,36,1,Semiurban,Yes
DC006265,Male,Yes,3,Graduate,No,476200,120235,1516500,36,1,Semiurban,Yes
DC006266,Male,Yes,0,Graduate,No,476100,120255,1517000,36,1,Semiurban,Yes
DC006267,Male,Yes,1,Graduate,No,476000,120275,1517500,36,1,Semiurban,Yes
DC006268,Female,No,0,Graduate,No,475900,120295,1518000,48,1,Semiurban,Yes
DC006269,Male,Yes,0,Graduate,No,475800,120315,1518500,36,1,Semiurban,Yes
DC006270,Male,Yes,3,Graduate,No,475700,120335,1519000,36,1,Semiurban,Yes
DC006271,Male,Yes,2,Graduate,No,475600,120355,1519500,36,1,Semiurban,Yes
DC006272,Male,Yes,0,Graduate,No,475500,120375,1520000,36,1,Semiurban,Yes
DC006273,Male,No,1,Graduate,No,475400,120395,1520500,48,1,Semiurban,Yes
DC006274,Male,Yes,1,Graduate,No,475300,120415,1521000,36,1,Semiurban,Yes
DC006275,Male,Yes,3,Not Graduate,Yes,28605,45195,168000,36,0,Rural,No
DC006276,Male,Yes,0,Not Graduate,Yes,28615,45185,169000,36,0,Rural,No
DC006277,Male,No,2,Graduate,No,475200,120435,1521500,36,1,Semiurban,Yes
DC006278,Male,Yes,2,Graduate,No,475100,120455,1522000,36,1,Semiurban,Yes
DC006279,Male,No,2,Graduate,No,475000,120475,1522500,36,1,Semiurban,Yes
DC006280,Female,No,1,Not Graduate,Yes,28655,45145,173000,36,0,Rural,No
DC006281,Female,No,2,Graduate,No,474900,120495,1523000,36,1,Semiurban,Yes
DC006282,Male,No,0,Graduate,No,474800,120515,1523500,36,1,Semiurban,Yes
DC006283,Male,No,3,Graduate,No,474700,120535,1524000,36,1,Semiurban,Yes
DC006284,Male,Yes,0,Not Graduate,Yes,28695,45105,177000,36,0,Rural,No
DC006285,Male,No,0,Graduate,No,474600,120555,1524500,36,1,Semiurban,Yes
DC006286,Male,No,2,Not Graduate,Yes,28715,45085,179000,36,0,Rural,No
DC006287,Male,No,1,Graduate,No,474500,120575,1525000,36,1,Semiurban,Yes
DC006288,Female,Yes,2,Graduate,No,474400,120595,1525500,12,1,Semiurban,Yes
DC006289,Female,Yes,1,Not Graduate,Yes,28745,45055,182000,18,0,Rural,No
DC006290,Male,Yes,2,Graduate,No,474300,120615,1526000,36,1,Semiurban,Yes
DC006291,Male,Yes,0,Graduate,No,474200,120635,1526500,36,1,Semiurban,Yes
DC006292,Male,No,0,Graduate,No,474100,120655,1527000,36,1,Semiurban,Yes
DC006293,Female,Yes,1,Graduate,No,474000,120675,1527500,36,1,Semiurban,Yes
DC006294,Male,Yes,0,Graduate,No,473900,120695,1528000,36,1,Semiurban,Yes
DC006295,Male,Yes,0,Graduate,No,473800,120715,1528500,36,1,Semiurban,Yes
DC006296,Male,Yes,0,Not Graduate,Yes,28815,44985,189000,36,0,Rural,No
DC006297,Male,No,1,Graduate,No,473700,120735,1529000,36,1,Semiurban,Yes
DC006298,Male,Yes,0,Graduate,No,473600,120755,1529500,36,1,Semiurban,Yes
DC006299,Male,Yes,0,Graduate,No,473500,120775,1530000,36,1,Semiurban,Yes
DC006300,Male,No,1,Graduate,No,473400,120795,1530500,36,1,Semiurban,Yes
DC006301,Male,Yes,0,Graduate,No,473300,120815,1531000,36,1,Semiurban,Yes
DC006302,Female,Yes,0,Graduate,No,473200,120835,1531500,36,1,Semiurban,Yes
DC006303,Male,No,0,Graduate,No,473100,120855,1532000,36,1,Semiurban,Yes
DC006304,Male,No,2,Graduate,No,473000,120875,1532500,36,1,Semiurban,Yes
DC006305,Male,No,1,Graduate,No,472900,120895,1533000,36,1,Semiurban,Yes
DC006306,Male,No,0,Graduate,No,472800,120915,1533500,36,1,Semiurban,Yes
DC006307,Male,Yes,2,Graduate,No,472700,120935,1534000,18,1,Semiurban,Yes
DC006308,Male,Yes,0,Graduate,No,472600,120955,1534500,12,1,Semiurban,Yes
DC006309,Male,Yes,0,Graduate,No,472500,120975,1535000,36,1,Semiurban,Yes
DC006310,Male,Yes,1,Graduate,No,472400,120995,1535500,36,1,Semiurban,Yes
DC006311,Male,No,0,Not Graduate,Yes,28965,44835,100000,36,0,Rural,No
DC006312,Male,No,1,Graduate,No,472300,121015,1536000,36,1,Semiurban,Yes
DC006313,Male,Yes,2,Not Graduate,Yes,28985,44815,102000,36,0,Rural,No
DC006314,Male,No,0,Graduate,No,472200,121035,1536500,36,1,Semiurban,Yes
DC006315,Female,Yes,0,Not Graduate,Yes,29005,44795,104000,36,0,Rural,No
DC006316,Male,Yes,3,Not Graduate,Yes,29015,44785,105000,36,0,Rural,No
DC006317,Male,Yes,2,Graduate,No,472100,121055,1537000,36,1,Semiurban,Yes
DC006318,Male,Yes,1,Graduate,No,472000,121075,1537500,36,1,Semiurban,Yes
DC006319,Female,Yes,0,Not Graduate,Yes,29045,44755,108000,36,0,Rural,No
DC006320,Female,Yes,0,Not Graduate,Yes,29055,44745,109000,36,0,Rural,No
DC006321,Male,Yes,2,Graduate,No,471900,121095,1538000,36,1,Semiurban,Yes
DC006322,Male,Yes,0,Graduate,No,471800,121115,1538500,36,1,Semiurban,Yes
DC006323,Male,Yes,3,Graduate,No,471700,121135,1539000,36,1,Semiurban,Yes
DC006324,Male,No,2,Graduate,No,471600,121155,1539500,36,1,Semiurban,Yes
DC006325,Male,Yes,0,Graduate,No,471500,121175,1540000,36,1,Semiurban,Yes
DC006326,Male,Yes,2,Graduate,No,471400,121195,1540500,36,1,Semiurban,Yes
DC006327,Male,Yes,0,Graduate,No,471300,121215,1541000,36,1,Semiurban,Yes
DC006328,Male,No,1,Graduate,No,471200,121235,1541500,18,1,Semiurban,Yes
DC006329,Male,Yes,1,Graduate,No,471100,121255,1542000,36,1,Semiurban,Yes
DC006330,Male,Yes,0,Graduate,No,471000,121275,1542500,36,1,Semiurban,Yes
DC006331,Male,Yes,0,Not Graduate,Yes,29165,44635,120000,48,0,Rural,No
DC006332,Male,Yes,3,Graduate,No,470900,121295,1543000,36,1,Semiurban,Yes
DC006333,Female,No,2,Graduate,No,470800,121315,1543500,36,1,Semiurban,Yes
DC006334,Male,Yes,1,Graduate,No,470700,121335,1544000,36,1,Semiurban,Yes
DC006335,Male,Yes,0,Graduate,No,470600,121355,1544500,36,1,Semiurban,Yes
DC006336,Male,Yes,0,Graduate,No,470500,121375,1545000,30,1,Semiurban,Yes
DC006337,Female,No,0,Graduate,No,470400,121395,1545500,36,1,Semiurban,Yes
DC006338,Male,No,2,Not Graduate,Yes,29235,44565,127000,36,0,Rural,No
DC006339,Male,No,0,Graduate,No,470300,121415,1546000,48,1,Semiurban,Yes
DC006340,Male,No,3,Graduate,No,470200,121435,1546500,24,1,Semiurban,Yes
DC006341,Male,Yes,1,Graduate,No,470100,121455,1547000,36,1,Semiurban,Yes
DC006342,Male,Yes,0,Graduate,No,470000,121475,1547500,36,1,Semiurban,Yes
DC006343,Male,No,1,Graduate,No,469900,121495,1548000,36,1,Semiurban,Yes
DC006344,Female,Yes,1,Graduate,No,469800,121515,1548500,36,1,Semiurban,Yes
DC006345,Female,Yes,0,Graduate,No,469700,121535,1549000,30,1,Semiurban,Yes
DC006346,Male,No,0,Graduate,No,469600,121555,1549500,18,1,Semiurban,Yes
DC006347,Male,No,0,Graduate,No,469500,121575,1550000,36,1,Semiurban,Yes
DC006348,Male,Yes,0,Graduate,No,469400,121595,1550500,18,1,Semiurban,Yes
DC006349,Male,Yes,0,Graduate,No,469300,121615,1551000,36,1,Semiurban,Yes
DC006350,Female,Yes,0,Graduate,No,469200,121635,1551500,36,1,Semiurban,Yes
DC006351,Female,No,2,Graduate,No,469100,121655,1552000,48,1,Semiurban,Yes
DC006352,Female,Yes,1,Graduate,No,469000,121675,1552500,36,1,Semiurban,Yes
DC006353,Male,Yes,1,Graduate,No,468900,121695,1553000,36,1,Semiurban,Yes
DC006354,Male,No,0,Graduate,No,468800,121715,1553500,36,1,Semiurban,Yes
DC006355,Male,No,0,Graduate,No,468700,121735,1554000,36,1,Semiurban,Yes
DC006356,Male,No,1,Graduate,No,468600,121755,1554500,36,1,Semiurban,Yes
DC006357,Male,Yes,0,Graduate,No,468500,121775,1555000,36,1,Semiurban,Yes
DC006358,Male,No,3,Graduate,No,468400,121795,1555500,18,1,Semiurban,Yes
DC006359,Male,No,0,Not Graduate,Yes,29445,44355,148000,36,0,Rural,No
DC006360,Male,Yes,0,Not Graduate,Yes,29455,44345,149000,36,0,Rural,No
DC006361,Female,Yes,2,Graduate,No,468300,121815,1556000,36,1,Semiurban,Yes
DC006362,Male,Yes,1,Graduate,No,468200,121835,1556500,36,1,Semiurban,Yes
DC006363,Male,No,0,Graduate,No,468100,121855,1557000,36,1,Semiurban,Yes
DC006364,Male,Yes,0,Graduate,No,468000,121875,1557500,36,1,Semiurban,Yes
DC006365,Female,Yes,2,Graduate,No,467900,121895,1558000,36,1,Semiurban,Yes
DC006366,Male,Yes,0,Not Graduate,Yes,29515,44285,155000,18,0,Rural,No
DC006367,Male,Yes,0,Graduate,No,467800,121915,1558500,36,1,Semiurban,Yes
DC006368,Female,Yes,3,Graduate,No,467700,121935,1559000,36,1,Semiurban,Yes
DC006369,Male,No,0,Graduate,No,467600,121955,1559500,36,1,Semiurban,Yes
DC006370,Female,Yes,0,Graduate,No,467500,121975,1560000,36,1,Semiurban,Yes
DC006371,Male,No,1,Not Graduate,Yes,29565,44235,160000,36,0,Rural,No
DC006372,Male,No,0,Graduate,No,467400,121995,1560500,36,1,Semiurban,Yes
DC006373,Male,Yes,2,Not Graduate,Yes,29585,44215,162000,18,0,Rural,No
DC006374,Male,No,2,Not Graduate,Yes,29595,44205,163000,30,0,Rural,No
DC006375,Female,No,3,Graduate,No,467300,122015,1561000,36,1,Semiurban,Yes
DC006376,Male,No,2,Not Graduate,Yes,29615,44185,165000,36,0,Rural,No
DC006377,Male,No,0,Graduate,No,467200,122035,1561500,36,1,Semiurban,Yes
DC006378,Male,No,1,Graduate,No,467100,122055,1562000,36,1,Semiurban,Yes
DC006379,Female,Yes,0,Not Graduate,Yes,29645,44155,168000,36,0,Rural,No
DC006380,Female,No,2,Not Graduate,Yes,29655,44145,169000,36,0,Rural,No
DC006381,Male,Yes,0,Graduate,No,467000,122075,1562500,30,1,Semiurban,Yes
DC006382,Male,Yes,0,Graduate,No,466900,122095,1563000,36,1,Semiurban,Yes
DC006383,Male,No,1,Not Graduate,Yes,29685,44115,172000,36,0,Rural,No
DC006384,Female,Yes,1,Graduate,No,466800,122075,1563500,36,1,Semiurban,Yes
DC006385,Male,Yes,1,Not Graduate,Yes,29705,44095,174000,36,0,Rural,No
DC006386,Male,Yes,0,Not Graduate,Yes,29715,44085,175000,36,0,Rural,No
DC006387,Male,Yes,0,Not Graduate,Yes,29725,44075,176000,36,0,Rural,No
DC006388,Female,No,2,Graduate,No,466700,122095,1564000,36,1,Semiurban,Yes
DC006389,Female,No,0,Graduate,No,466600,122115,1564500,36,1,Semiurban,Yes
DC006390,Male,Yes,2,Graduate,No,466500,122135,1565000,36,1,Semiurban,Yes
DC006391,Male,Yes,0,Graduate,No,466400,122155,1565500,36,1,Semiurban,Yes
DC006392,Female,Yes,0,Graduate,No,466300,122175,1566000,36,1,Semiurban,Yes
DC006393,Male,Yes,0,Graduate,No,466200,122195,1566500,36,1,Semiurban,Yes
DC006394,Female,No,2,Not Graduate,Yes,29795,44005,183000,24,0,Rural,No
DC006395,Male,Yes,2,Graduate,No,466100,122215,1567000,36,1,Semiurban,Yes
DC006396,Male,Yes,0,Graduate,No,466000,122235,1567500,24,1,Semiurban,Yes
DC006397,Male,Yes,2,Graduate,No,465900,122255,1568000,36,1,Semiurban,Yes
DC006398,Male,Yes,3,Graduate,No,465800,122275,1568500,36,1,Semiurban,Yes
DC006399,Female,No,0,Not Graduate,Yes,29845,43955,188000,36,0,Rural,No
DC006400,Male,Yes,3,Graduate,No,465700,122295,1569000,36,1,Semiurban,Yes
DC006401,Male,Yes,0,Graduate,No,465600,122315,1569500,36,1,Semiurban,Yes
DC006402,Male,No,1,Not Graduate,Yes,29875,43925,191000,18,0,Rural,No
DC006403,Male,No,0,Graduate,No,465500,122335,1570000,36,1,Semiurban,Yes
DC006404,Female,No,1,Graduate,No,465400,122355,1570500,36,1,Semiurban,Yes
DC006405,Male,No,2,Graduate,No,465300,122375,1571000,36,1,Semiurban,Yes
DC006406,Male,Yes,0,Graduate,No,465200,122395,1571500,36,1,Semiurban,Yes
DC006407,Male,No,0,Graduate,No,465100,122415,1572000,36,1,Semiurban,Yes
DC006408,Male,No,3,Graduate,No,465000,122435,1572500,36,1,Semiurban,Yes
DC006409,Female,Yes,1,Graduate,No,464900,122455,1573000,36,1,Semiurban,Yes
DC006410,Female,No,2,Graduate,No,464800,122475,1573500,24,1,Semiurban,Yes
DC006411,Male,Yes,0,Not Graduate,Yes,29965,43835,200000,36,0,Rural,No
DC006412,Male,No,2,Graduate,No,464700,122495,1574000,36,1,Semiurban,Yes
DC006413,Male,Yes,2,Graduate,No,464600,122515,1574500,36,1,Semiurban,Yes
DC006414,Male,No,3,Not Graduate,Yes,29995,43805,101100,24,0,Rural,No
DC006415,Male,No,2,Graduate,No,464500,122535,1575000,36,1,Semiurban,Yes
DC006416,Male,Yes,0,Graduate,No,464400,122555,1575500,30,1,Semiurban,Yes
DC006417,Male,Yes,1,Graduate,No,464300,122575,1576000,36,1,Semiurban,Yes
DC006418,Female,Yes,0,Not Graduate,Yes,30035,43765,101500,36,0,Rural,No
DC006419,Female,Yes,2,Graduate,No,464200,122595,1576500,36,1,Semiurban,Yes
DC006420,Male,Yes,0,Graduate,No,464100,122615,1577000,36,1,Semiurban,Yes
DC006421,Female,No,0,Not Graduate,Yes,30065,43735,101800,36,0,Rural,No
DC006422,Male,Yes,1,Not Graduate,Yes,30075,43725,101900,36,0,Rural,No
DC006423,Male,Yes,1,Not Graduate,Yes,30085,43715,102000,30,0,Rural,No
DC006424,Male,Yes,1,Graduate,No,464000,122635,1577500,36,1,Semiurban,Yes
DC006425,Male,Yes,0,Graduate,No,463900,122655,1578000,18,1,Semiurban,Yes
DC006426,Male,No,0,Graduate,No,463800,122675,1578500,36,1,Semiurban,Yes
DC006427,Male,Yes,2,Graduate,No,463700,122695,1579000,36,1,Semiurban,Yes
DC006428,Male,Yes,0,Graduate,No,463600,122715,1579500,36,1,Semiurban,Yes
DC006429,Male,Yes,2,Graduate,No,463500,122735,1580000,36,1,Semiurban,Yes
DC006430,Male,No,0,Graduate,No,463400,122755,1580500,36,1,Semiurban,Yes
DC006431,Male,Yes,0,Graduate,No,463300,122775,1581000,36,1,Semiurban,Yes
DC006432,Male,Yes,0,Graduate,No,463200,122795,1581500,18,1,Semiurban,Yes
DC006433,Female,Yes,2,Graduate,No,463100,122815,1582000,36,1,Semiurban,Yes
DC006434,Female,No,2,Not Graduate,Yes,30195,43605,103100,36,0,Rural,No
DC006435,Female,No,0,Graduate,No,463000,122835,1582500,36,1,Semiurban,Yes
DC006436,Male,No,2,Graduate,No,462900,122855,1583000,36,1,Semiurban,Yes
DC006437,Male,Yes,3,Not Graduate,Yes,30225,43575,103400,18,0,Rural,No
DC006438,Male,Yes,0,Not Graduate,Yes,30235,43565,103500,36,0,Rural,No
DC006439,Male,Yes,3,Graduate,No,462800,122875,1583500,36,1,Semiurban,Yes
DC006440,Female,Yes,0,Graduate,No,462700,122895,1584000,36,1,Semiurban,Yes
DC006441,Male,Yes,1,Not Graduate,Yes,30265,43535,103800,18,0,Rural,No
DC006442,Male,Yes,0,Graduate,No,462600,122915,1584500,36,1,Semiurban,Yes
DC006443,Male,No,1,Graduate,No,462500,122935,1585000,36,1,Semiurban,Yes
DC006444,Male,No,2,Graduate,No,462400,122955,1585500,36,1,Semiurban,Yes
DC006445,Male,Yes,0,Graduate,No,462300,122975,1586000,36,1,Semiurban,Yes
DC006446,Male,Yes,0,Graduate,No,462200,122995,1586500,30,1,Semiurban,Yes
DC006447,Male,Yes,3,Graduate,No,462100,123015,1587000,36,1,Semiurban,Yes
DC006448,Male,Yes,1,Graduate,No,462000,123035,1587500,36,1,Semiurban,Yes
DC006449,Male,No,2,Not Graduate,Yes,30345,43455,104600,36,0,Rural,No
DC006450,Female,Yes,0,Not Graduate,Yes,30355,43445,104700,36,0,Rural,No
DC006451,Male,Yes,3,Graduate,No,461900,123055,1588000,36,1,Semiurban,Yes
DC006452,Male,Yes,0,Graduate,No,461800,123075,1588500,36,1,Semiurban,Yes
DC006453,Male,Yes,3,Graduate,No,461700,123095,1589000,36,1,Semiurban,Yes
DC006454,Female,Yes,0,Not Graduate,Yes,30395,43405,105100,36,0,Rural,No
DC006455,Male,No,3,Graduate,No,461600,123115,1589500,36,1,Semiurban,Yes
DC006456,Male,Yes,1,Graduate,No,461500,123135,1590000,36,1,Semiurban,Yes
DC006457,Male,Yes,0,Graduate,No,461400,123155,1590500,36,1,Semiurban,Yes
DC006458,Male,No,1,Graduate,No,461300,123175,1591000,36,1,Semiurban,Yes
DC006459,Male,No,0,Not Graduate,Yes,30445,43355,105600,36,0,Rural,No
DC006460,Male,Yes,0,Not Graduate,Yes,30455,43345,105700,36,0,Rural,No
DC006461,Male,No,0,Not Graduate,Yes,30465,43335,105800,36,0,Rural,No
DC006462,Female,No,2,Not Graduate,Yes,30475,43325,105900,36,0,Rural,No
DC006463,Male,Yes,3,Graduate,No,461200,123195,1591500,36,1,Semiurban,Yes
DC006464,Male,Yes,0,Graduate,No,461100,123215,1592000,24,1,Semiurban,Yes
DC006465,Male,Yes,1,Not Graduate,Yes,30505,43295,106200,36,0,Rural,No
DC006466,Male,Yes,0,Graduate,No,461000,123235,1592500,24,1,Semiurban,Yes
DC006467,Male,Yes,0,Graduate,No,460900,123255,1593000,36,1,Semiurban,Yes
DC006468,Male,No,0,Graduate,No,460800,123275,1593500,36,1,Semiurban,Yes
DC006469,Male,No,0,Graduate,No,460700,123295,1594000,48,1,Semiurban,Yes
DC006470,Male,No,2,Graduate,No,460600,123315,1594500,36,1,Semiurban,Yes
DC006471,Male,Yes,1,Graduate,No,460500,123335,1595000,36,1,Semiurban,Yes
DC006472,Male,Yes,0,Not Graduate,Yes,30575,43225,106900,36,0,Rural,No
DC006473,Male,Yes,0,Not Graduate,Yes,30585,43215,107000,30,0,Rural,No
DC006474,Male,Yes,0,Graduate,No,460400,123355,1595500,36,1,Semiurban,Yes
DC006475,Male,Yes,0,Graduate,No,460300,123375,1596000,36,1,Semiurban,Yes
DC006476,Female,Yes,1,Graduate,No,460200,123395,1596500,36,1,Semiurban,Yes
DC006477,Male,No,0,Graduate,No,460100,123415,1597000,36,1,Semiurban,Yes
DC006478,Male,No,2,Not Graduate,Yes,30635,43165,107500,36,0,Rural,No
DC006479,Female,Yes,0,Graduate,No,460000,123435,1597500,36,1,Semiurban,Yes
DC006480,Male,Yes,0,Graduate,No,459900,123455,1598000,36,1,Semiurban,Yes
DC006481,Male,Yes,0,Graduate,No,459800,123475,1598500,18,1,Semiurban,Yes
DC006482,Male,No,0,Graduate,No,459700,123495,1599000,36,1,Semiurban,Yes
DC006483,Female,Yes,0,Graduate,No,459600,123515,1599500,36,1,Semiurban,Yes
DC006484,Female,Yes,0,Graduate,No,459500,123535,1600000,48,1,Semiurban,Yes
DC006485,Female,Yes,0,Not Graduate,Yes,30705,43095,108200,36,0,Rural,No
DC006486,Male,No,0,Graduate,No,459400,123555,1600500,36,1,Semiurban,Yes
DC006487,Female,No,2,Not Graduate,Yes,30725,43075,108400,36,0,Rural,No
DC006488,Male,Yes,2,Not Graduate,Yes,30735,43065,108500,36,0,Rural,No
DC006489,Male,No,1,Graduate,No,459300,123575,1601000,36,1,Semiurban,Yes
DC006490,Female,Yes,0,Graduate,No,459200,123595,1601500,36,1,Semiurban,Yes
DC006491,Male,Yes,3,Graduate,No,459100,123615,1602000,36,1,Semiurban,Yes
DC006492,Male,No,1,Graduate,No,459000,123635,1602500,36,1,Semiurban,Yes
DC006493,Male,Yes,1,Graduate,No,458900,123655,1603000,36,1,Semiurban,Yes
DC006494,Female,Yes,0,Graduate,No,458800,123675,1603500,36,1,Semiurban,Yes
DC006495,Female,Yes,1,Not Graduate,Yes,30805,42995,109200,36,0,Rural,No
DC006496,Female,No,0,Not Graduate,Yes,30815,42985,109300,36,0,Rural,No
DC006497,Male,No,1,Not Graduate,Yes,30825,42975,109400,36,0,Rural,No
DC006498,Male,Yes,0,Graduate,No,458700,123695,1604000,24,1,Semiurban,Yes
DC006499,Male,Yes,1,Graduate,No,458600,123715,1604500,36,1,Semiurban,Yes
DC006500,Male,No,0,Graduate,No,458500,123735,1605000,36,1,Semiurban,Yes
DC006501,Female,No,0,Graduate,No,458400,123755,1605500,36,1,Semiurban,Yes
DC006502,Male,No,0,Not Graduate,Yes,30875,42925,109900,36,0,Rural,No
DC006503,Male,No,0,Not Graduate,Yes,30885,42915,110000,36,0,Rural,No
DC006504,Male,Yes,0,Graduate,No,458300,123775,1606000,36,1,Semiurban,Yes
DC006505,Male,No,2,Graduate,No,458200,123795,1606500,36,1,Semiurban,Yes
DC006506,Female,Yes,0,Not Graduate,Yes,30915,42885,110300,36,0,Rural,No
DC006507,Male,Yes,0,Graduate,No,458100,123815,1607000,18,1,Semiurban,Yes
DC006508,Male,Yes,0,Graduate,No,458000,123835,1607500,18,1,Semiurban,Yes
DC006509,Male,No,2,Graduate,No,457900,123855,1608000,36,1,Semiurban,Yes
DC006510,Female,No,1,Graduate,No,457800,123875,1608500,36,1,Semiurban,Yes
DC006511,Male,Yes,2,Not Graduate,Yes,30965,42835,110800,36,0,Rural,No
DC006512,Male,Yes,0,Not Graduate,Yes,30975,42825,110900,36,0,Rural,No
DC006513,Male,Yes,1,Graduate,No,457700,123895,1609000,36,1,Semiurban,Yes
DC006514,Male,No,1,Not Graduate,Yes,30995,42805,111100,24,0,Rural,No
DC006515,Male,No,0,Graduate,No,457600,123915,1609500,36,1,Semiurban,Yes
DC006516,Male,No,3,Graduate,No,457500,123935,1610000,36,1,Semiurban,Yes
DC006517,Male,Yes,2,Graduate,No,457400,123955,1610500,36,1,Semiurban,Yes
DC006518,Female,Yes,0,Graduate,No,457300,123975,1611000,36,1,Semiurban,Yes
DC006519,Male,Yes,3,Not Graduate,Yes,31045,42755,111600,36,0,Rural,No
DC006520,Male,Yes,1,Graduate,No,457200,123995,1611500,36,1,Semiurban,Yes
DC006521,Male,Yes,0,Not Graduate,Yes,31065,42735,111800,36,0,Rural,No
DC006522,Male,Yes,0,Graduate,No,457100,124015,1612000,18,1,Semiurban,Yes
DC006523,Male,Yes,0,Graduate,No,457000,124035,1612500,36,1,Semiurban,Yes
DC006524,Male,No,0,Graduate,No,456900,124055,1613000,36,1,Semiurban,Yes
DC006525,Male,Yes,1,Graduate,No,456800,124075,1613500,36,1,Semiurban,Yes
DC006526,Male,Yes,0,Graduate,No,456700,124095,1614000,36,1,Semiurban,Yes
